,Statement,Emotion
0," Thank you , Steven . I accept your advice . ",joy
1,"Oh my God, I can't believe I have two-two children.",surprise
2,"Look, it's not that big of a deal, so Monica and Chandler are doing it.",neutral
3,And I wanna know why?!!,anger
4,"And, ah, you know, your fooling around with her.",joy
5,"We did have fun, didn't we?",joy
6,Wait! You forgot your legs!,surprise
7, Yeah . I really like the stores and the shopping . ,joy
8, Really ? Where did you go ? ,surprise
9,"I don’t mind paying my dues, y'know, its just how much am I gonna learn about fashion by walking Mira, the arthritic seamstress, to the bathroom.",disgust
10," Oh , I'm afraid we've sold out of those . They were really popular . ",sadness
11,"Yeah, yeah you have the ring?",neutral
12, Sounds good . What are you going to have for your main course ? ,joy
13,"Yes, they can stay with us.",neutral
14,"I may have to, I hate to do it, but I’m the star!",anger
15, I ’ m happy to hear you say that . ,joy
16, Thank you . I will . ,joy
17, Really ? What did you get one for ? ,surprise
18, You're right . ,joy
19, And he ’ s bright and intelligent . I ’ m sure he can pass the university entrance exam . ,joy
20," Wow , it's so strange for you to say things like that . What had happened ? ",surprise
21, Then I'll see you at six . Is that all right ? ,joy
22," Lulu . Lulu . Say hello . hello . Oh , she is so smart . Good bird . ",joy
23,"I can smell it a little, bake the pie.",joy
24,Shut up! This place is a hole!,anger
25, Good idea . ,joy
26,Come on! you...,neutral
27, You can ask me any question at any time . ,joy
28, Yeah . It ’ s pretty . ,joy
29," So sorry , I don't mean to be . ",sadness
30, I really appreciated it . ,joy
31,"I thought I would, but the translation's no good.",neutral
32," Did she ? That ’ s great . However , if we have too many children , that will have a bad effect on the enviroment . ",joy
33," Oh , sorry to interrupt you . But I am calling to say goodbye to you . I am awfully sorry to tell you that I am afraid I could not see you off at the airport tomorrow , because I will have to attend a very important meeting . ",sadness
34,Which is why,neutral
35, Okay . Thank you very much . ,joy
36,"No, he's gone.",neutral
37,You could do that!,joy
38, Thanks . They look delicious . ,joy
39, The food there is pretty good . ,joy
40," Look , we have a lot of accumulated anger from working in these conditions , and it ’ s probably okay to let off steam once in a while . But , it ’ s probably not a good idea to keep it up I ’ m willing to forgive and forget and if you are . ",anger
41," ( Sound of Allen singing ) Hey , Allen has a really good voice ! He sounds like Johnny Dean ! ",joy
42,"That’s great, but shouldn’t you be on the toilet right now?",disgust
43," No , I didn't . I'm innocent . Those aren't mine . Whatever you found is someone else's stuff . You can't prove anything . I wasn't there when you went in , and you can't prove it's my stuff . ",surprise
44, OK . Great idea ! ,joy
45,"I'm only eating the skin, so the chicken's up for grabs.",neutral
46, Are you kidding ? I ’ m terrible ! But I love to watch sports . I go to football or baseball games a lot . And I read sports magazines every week . ,surprise
47,You were the next caller five hours ago. You must be going crazy.,joy
48,"Dude, you don’t have to brag! We got nothing here!!",anger
49, It's just what I want . ,joy
50,"Which is funny because in high school I uh, I-I failed Biology and tonight Biology failed me.",fear
51,Hands.,neutral
52,Who would you rather sleep with Monica or Rachel?,neutral
